,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller
,Mixed / non conventional,41.00,35.00,36.50,39.50,0.67,0.00,-226.876,2376.387,-7.07,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,39.50,33.50,0.65,0.00,239.291,2376.387,6.43,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,33.50,42.50,0.72,0.00,-290.569,2376.387,-5.89,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,42.50,32.00,0.79,0.00,226.571,2376.387,8.32,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,32.00,44.00,0.97,0.00,-162.471,2376.387,-14.14,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,44.00,30.50,1.02,0.00,134.607,2376.387,17.99,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,30.50,45.50,1.08,0.00,-103.975,2376.387,-24.74,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,45.50,29.00,1.12,0.00,89.106,2376.387,29.87,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,41.00,35.00,29.00,47.00,1.17,0.00,-73.687,2376.387,-37.70,0,,1/28/2024 5:26:43 PM,0
,Mixed / non conventional,42.00,36.00,39.00,37.50,0.81,0.00,135.765,2369.525,14.14,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,37.50,40.50,0.70,0.00,-235.925,2369.525,-7.07,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,40.50,34.50,0.68,0.00,249.103,2369.525,6.43,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,34.50,43.50,0.75,0.00,-303.085,2369.525,-5.89,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,43.50,33.00,0.83,0.00,237.141,2369.525,8.32,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,33.00,45.00,1.01,0.00,-169.922,2369.525,-14.14,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,45.00,31.50,1.07,0.00,140.927,2369.525,17.99,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,31.50,46.50,1.14,0.00,-108.715,2369.525,-24.74,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,46.50,30.00,1.18,0.00,93.555,2369.525,29.87,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,42.00,36.00,30.00,48.00,1.22,0.00,-76.749,2369.525,-37.70,0,,1/28/2024 5:26:45 PM,0
,Mixed / non conventional,43.00,37.00,40.00,38.50,0.85,0.00,141.931,2363.380,14.14,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,38.50,41.50,0.74,0.00,-248.557,2363.380,-7.07,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,41.50,35.50,0.72,0.00,265.456,2363.380,6.43,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,35.50,44.50,0.80,0.00,-322.385,2363.380,-5.89,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,44.50,34.00,0.89,0.00,252.762,2363.380,8.32,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,34.00,46.00,1.08,0.00,-180.736,2363.380,-14.14,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,46.00,32.50,1.14,0.00,149.351,2363.380,17.99,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,32.50,47.50,1.20,0.00,-114.314,2363.380,-24.74,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,47.50,31.00,1.23,0.00,97.537,2363.380,29.87,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,43.00,37.00,31.00,49.00,1.27,0.00,-79.381,2363.380,-37.70,0,,1/28/2024 5:26:48 PM,0
,Mixed / non conventional,44.00,38.00,41.00,39.50,0.86,0.00,143.399,2358.429,14.14,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,39.50,42.50,0.76,0.00,-251.934,2358.429,-7.07,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,42.50,36.50,0.74,0.00,269.849,2358.429,6.43,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,36.50,45.50,0.81,0.00,-325.462,2358.429,-5.89,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,45.50,35.00,0.89,0.00,253.692,2358.429,8.32,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,35.00,47.00,1.09,0.00,-181.494,2358.429,-14.14,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,47.00,33.50,1.14,0.00,149.413,2358.429,17.99,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,33.50,48.50,1.20,0.00,-114.433,2358.429,-24.74,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,48.50,32.00,1.23,0.00,97.146,2358.429,29.87,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,44.00,38.00,32.00,50.00,1.27,0.00,-79.434,2358.429,-37.70,0,,1/28/2024 5:26:50 PM,0
,Mixed / non conventional,45.00,39.00,42.00,40.50,0.83,0.00,139.589,2372.539,14.14,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,40.50,43.50,0.72,0.00,-241.749,2372.539,-7.07,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,43.50,37.50,0.70,0.00,259.278,2372.539,6.43,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,37.50,46.50,0.77,0.00,-311.419,2372.539,-5.89,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,46.50,36.00,0.84,0.00,240.971,2372.539,8.32,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,36.00,48.00,1.03,0.00,-173.342,2372.539,-14.14,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,48.00,34.50,1.08,0.00,142.025,2372.539,17.99,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,34.50,49.50,1.15,0.00,-109.883,2372.539,-24.74,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,49.50,33.00,1.17,0.00,92.902,2372.539,29.87,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,45.00,39.00,33.00,51.00,1.22,0.00,-76.773,2372.539,-37.70,0,,1/28/2024 5:26:52 PM,0
,Mixed / non conventional,46.00,40.00,43.00,41.50,0.81,0.00,134.740,2357.668,14.14,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,41.50,44.50,0.70,0.00,-233.220,2357.668,-7.07,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,44.50,38.50,0.68,0.00,251.135,2357.668,6.43,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,38.50,47.50,0.76,0.00,-302.995,2357.668,-5.89,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,47.50,37.00,0.83,0.00,234.418,2357.668,8.32,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,37.00,49.00,1.02,0.00,-169.330,2357.668,-14.14,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,49.00,35.50,1.06,0.00,139.291,2357.668,17.99,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,35.50,50.50,1.13,0.00,-107.976,2357.668,-24.74,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,50.50,34.00,1.16,0.00,91.576,2357.668,29.87,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,46.00,40.00,34.00,52.00,1.21,0.00,-75.957,2357.668,-37.70,0,,1/28/2024 5:26:55 PM,0
,Mixed / non conventional,47.00,41.00,44.00,42.50,0.79,0.00,133.252,2370.904,14.14,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,42.50,45.50,0.69,0.00,-232.214,2370.904,-7.07,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,45.50,39.50,0.68,0.00,250.587,2370.904,6.43,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,39.50,48.50,0.75,0.00,-303.591,2370.904,-5.89,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,48.50,38.00,0.83,0.00,236.707,2370.904,8.32,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,38.00,50.00,1.02,0.00,-171.114,2370.904,-14.14,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,50.00,36.50,1.07,0.00,140.865,2370.904,17.99,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,36.50,51.50,1.14,0.00,-109.521,2370.904,-24.74,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,51.50,35.00,1.17,0.00,93.021,2370.904,29.87,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,47.00,41.00,35.00,53.00,1.22,0.00,-76.797,2370.904,-37.70,0,,1/28/2024 5:26:57 PM,0
,Mixed / non conventional,48.00,42.00,45.00,43.50,0.83,0.00,136.175,2330.173,14.14,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,43.50,46.50,0.72,0.00,-238.763,2330.173,-7.07,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,46.50,40.50,0.71,0.00,257.556,2330.173,6.43,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,40.50,49.50,0.79,0.00,-311.123,2330.173,-5.89,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,49.50,39.00,0.86,0.00,242.183,2330.173,8.32,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,39.00,51.00,1.06,0.00,-174.177,2330.173,-14.14,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,51.00,37.50,1.11,0.00,143.427,2330.173,17.99,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,37.50,52.50,1.18,0.00,-111.023,2330.173,-24.74,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,52.50,36.00,1.21,0.00,94.051,2330.173,29.87,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,48.00,42.00,36.00,54.00,1.25,0.00,-77.402,2330.173,-37.70,0,,1/28/2024 5:26:59 PM,0
,Mixed / non conventional,49.00,43.00,46.00,44.50,0.81,0.00,137.143,2396.977,14.14,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,44.50,47.50,0.71,0.00,-240.147,2396.977,-7.07,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,47.50,41.50,0.70,0.00,260.743,2396.977,6.43,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,41.50,50.50,0.78,0.00,-316.976,2396.977,-5.89,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,50.50,40.00,0.86,0.00,247.591,2396.977,8.32,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,40.00,52.00,1.05,0.00,-178.341,2396.977,-14.14,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,52.00,38.50,1.10,0.00,146.995,2396.977,17.99,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,38.50,53.50,1.17,0.00,-113.727,2396.977,-24.74,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,53.50,37.00,1.20,0.00,96.483,2396.977,29.87,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,49.00,43.00,37.00,55.00,1.25,0.00,-79.315,2396.977,-37.70,0,,1/28/2024 5:27:02 PM,0
,Mixed / non conventional,50.00,44.00,47.00,45.50,0.82,0.00,136.089,2336.896,14.14,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,45.50,48.50,0.72,0.00,-239.164,2336.896,-7.07,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,48.50,42.50,0.71,0.00,258.410,2336.896,6.43,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,42.50,51.50,0.79,0.00,-312.029,2336.896,-5.89,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,51.50,41.00,0.87,0.00,243.790,2336.896,8.32,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,41.00,53.00,1.05,0.00,-174.291,2336.896,-14.14,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,53.00,39.50,1.11,0.00,143.832,2336.896,17.99,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,39.50,54.50,1.17,0.00,-110.851,2336.896,-24.74,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,54.50,38.00,1.20,0.00,94.127,2336.896,29.87,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,50.00,44.00,38.00,56.00,1.25,0.00,-77.273,2336.896,-37.70,0,,1/28/2024 5:27:04 PM,0
,Mixed / non conventional,51.00,45.00,48.00,46.50,0.79,0.00,134.144,2396.878,14.14,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,46.50,49.50,0.70,0.00,-238.210,2396.878,-7.07,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,49.50,43.50,0.69,0.00,256.698,2396.878,6.43,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,43.50,52.50,0.77,0.00,-311.314,2396.878,-5.89,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,52.50,42.00,0.85,0.00,244.749,2396.878,8.32,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,42.00,54.00,1.03,0.00,-174.630,2396.878,-14.14,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,54.00,40.50,1.09,0.00,145.163,2396.878,17.99,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,40.50,55.50,1.15,0.00,-111.242,2396.878,-24.74,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,55.50,39.00,1.18,0.00,95.043,2396.878,29.87,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,51.00,45.00,39.00,57.00,1.22,0.00,-77.564,2396.878,-37.70,0,,1/28/2024 5:27:06 PM,0
,Mixed / non conventional,52.00,46.00,49.00,47.50,0.81,0.00,135.412,2356.229,14.14,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,47.50,50.50,0.72,0.00,-240.848,2356.229,-7.07,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,50.50,44.50,0.71,0.00,261.038,2356.229,6.43,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,44.50,53.50,0.79,0.00,-314.429,2356.229,-5.89,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,53.50,43.00,0.87,0.00,246.533,2356.229,8.32,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,43.00,55.00,1.05,0.00,-175.818,2356.229,-14.14,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,55.00,41.50,1.11,0.00,145.874,2356.229,17.99,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,41.50,56.50,1.18,0.00,-111.915,2356.229,-24.74,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,56.50,40.00,1.21,0.00,95.658,2356.229,29.87,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,52.00,46.00,40.00,58.00,1.25,0.00,-77.841,2356.229,-37.70,0,,1/28/2024 5:27:09 PM,0
,Mixed / non conventional,53.00,47.00,50.00,48.50,0.85,0.00,141.440,2359.517,14.14,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,48.50,51.50,0.75,0.00,-251.114,2359.517,-7.07,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,51.50,45.50,0.74,0.00,269.916,2359.517,6.43,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,45.50,54.50,0.81,0.00,-324.236,2359.517,-5.89,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,54.50,44.00,0.89,0.00,253.873,2359.517,8.32,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,44.00,56.00,1.08,0.00,-180.970,2359.517,-14.14,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,56.00,42.50,1.14,0.00,149.537,2359.517,17.99,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,42.50,57.50,1.20,0.00,-114.328,2359.517,-24.74,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,57.50,41.00,1.23,0.00,97.236,2359.517,29.87,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,53.00,47.00,41.00,59.00,1.26,0.00,-78.771,2359.517,-37.70,0,,1/28/2024 5:27:11 PM,0
,Mixed / non conventional,54.00,48.00,51.00,49.50,0.80,0.00,132.975,2354.518,14.14,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,49.50,52.50,0.73,0.00,-241.716,2354.518,-7.07,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,52.50,46.50,0.74,0.00,269.811,2354.518,6.43,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,46.50,55.50,0.81,0.00,-323.773,2354.518,-5.89,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,55.50,45.00,0.89,0.00,251.050,2354.518,8.32,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,45.00,57.00,1.07,0.00,-177.812,2354.518,-14.14,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,57.00,43.50,1.12,0.00,146.299,2354.518,17.99,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,43.50,58.50,1.18,0.00,-111.829,2354.518,-24.74,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,58.50,42.00,1.20,0.00,94.671,2354.518,29.87,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,54.00,48.00,42.00,60.00,1.23,0.00,-77.021,2354.518,-37.70,0,,1/28/2024 5:27:13 PM,0
,Mixed / non conventional,55.00,49.00,52.00,50.50,0.81,0.00,134.907,2359.007,14.14,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,50.50,53.50,0.71,0.00,-238.119,2359.007,-7.07,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,53.50,47.50,0.70,0.00,258.047,2359.007,6.43,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,47.50,56.50,0.77,0.00,-310.307,2359.007,-5.89,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,56.50,46.00,0.85,0.00,239.927,2359.007,8.32,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,46.00,58.00,1.02,0.00,-170.776,2359.007,-14.14,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,58.00,44.50,1.07,0.00,139.892,2359.007,17.99,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,44.50,59.50,1.13,0.00,-107.351,2359.007,-24.74,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,59.50,43.00,1.15,0.00,91.147,2359.007,29.87,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,55.00,49.00,43.00,61.00,1.19,0.00,-74.197,2359.007,-37.70,0,,1/28/2024 5:27:16 PM,0
,Mixed / non conventional,56.00,50.00,53.00,51.50,0.73,0.00,123.219,2374.868,14.14,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,51.50,54.50,0.67,0.00,-224.209,2374.868,-7.07,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,54.50,48.50,0.68,0.00,250.053,2374.868,6.43,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,48.50,57.50,0.75,0.00,-301.602,2374.868,-5.89,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,57.50,47.00,0.82,0.00,235.238,2374.868,8.32,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,47.00,59.00,1.00,0.00,-167.155,2374.868,-14.14,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,59.00,45.50,1.04,0.00,137.498,2374.868,17.99,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,45.50,60.50,1.10,0.00,-105.596,2374.868,-24.74,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,60.50,44.00,1.13,0.00,89.473,2374.868,29.87,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,56.00,50.00,44.00,62.00,1.16,0.00,-72.934,2374.868,-37.70,0,,1/28/2024 5:27:18 PM,0
,Mixed / non conventional,57.00,51.00,54.00,52.50,0.78,0.00,128.207,2335.365,14.14,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,52.50,55.50,0.70,0.00,-231.727,2335.365,-7.07,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,55.50,49.50,0.70,0.00,256.187,2335.365,6.43,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,49.50,58.50,0.77,0.00,-306.601,2335.365,-5.89,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,58.50,48.00,0.85,0.00,238.734,2335.365,8.32,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,48.00,60.00,1.02,0.00,-168.457,2335.365,-14.14,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,60.00,46.50,1.06,0.00,137.994,2335.365,17.99,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,46.50,61.50,1.12,0.00,-105.301,2335.365,-24.74,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,61.50,45.00,1.14,0.00,89.063,2335.365,29.87,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,57.00,51.00,45.00,63.00,1.17,0.00,-72.495,2335.365,-37.70,0,,1/28/2024 5:27:20 PM,0
,Mixed / non conventional,58.00,52.00,55.00,53.50,0.82,0.00,137.458,2373.767,14.14,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,53.50,56.50,0.73,0.00,-244.678,2373.767,-7.07,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,56.50,50.50,0.72,0.00,266.729,2373.767,6.43,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,50.50,59.50,0.79,0.00,-318.798,2373.767,-5.89,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,59.50,49.00,0.87,0.00,247.563,2373.767,8.32,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,49.00,61.00,1.03,0.00,-173.685,2373.767,-14.14,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,61.00,47.50,1.07,0.00,141.662,2373.767,17.99,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,47.50,62.50,1.13,0.00,-108.777,2373.767,-24.74,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,62.50,46.00,1.15,0.00,91.109,2373.767,29.87,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,58.00,52.00,46.00,64.00,1.19,0.00,-74.670,2373.767,-37.70,0,,1/28/2024 5:27:23 PM,0
,Mixed / non conventional,59.00,53.00,56.00,54.50,0.83,0.00,138.340,2356.141,14.14,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,54.50,57.50,0.74,0.00,-245.747,2356.141,-7.07,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,57.50,51.50,0.72,0.00,265.775,2356.141,6.43,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,51.50,60.50,0.79,0.00,-315.516,2356.141,-5.89,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,60.50,50.00,0.86,0.00,242.493,2356.141,8.32,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,50.00,62.00,1.02,0.00,-169.969,2356.141,-14.14,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,62.00,48.50,1.05,0.00,137.922,2356.141,17.99,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,48.50,63.50,1.11,0.00,-106.059,2356.141,-24.74,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,63.50,47.00,1.12,0.00,88.629,2356.141,29.87,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,59.00,53.00,47.00,65.00,1.16,0.00,-72.729,2356.141,-37.70,0,,1/28/2024 5:27:25 PM,0
,Mixed / non conventional,60.00,54.00,57.00,55.50,0.79,0.00,132.184,2379.375,14.14,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,55.50,58.50,0.70,0.00,-235.586,2379.375,-7.07,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,58.50,52.50,0.69,0.00,255.791,2379.375,6.43,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,52.50,61.50,0.75,0.00,-301.149,2379.375,-5.89,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,61.50,51.00,0.80,0.00,230.220,2379.375,8.32,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,51.00,63.00,0.97,0.00,-162.819,2379.375,-14.14,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,63.00,49.50,1.00,0.00,131.697,2379.375,17.99,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,49.50,64.50,1.06,0.00,-102.062,2379.375,-24.74,0,,1/28/2024 5:27:27 PM,0
,Mixed / non conventional,60.00,54.00,64.50,48.00,1.07,0.00,85.249,2379.375,29.87,0,,1/28/2024 5:27:27 PM,0
